Supplier,Name 1,Unique_Invoices,Exception_Events,Avg_Exc_Per_Inv,Cumulative_Events,Cumulative_Pct
51003979,TRANS UTILITY SERVICES,2,9,4.5,27882,96.28
51004505,SEFAR FILTRATION INC,3,9,3.0,27891,96.31
51003738,DAYFORCE AUSTRALIA PTY. LTD,5,9,1.8,27900,96.34
51004854,CABLEVISION LIGHTPATH LLC,6,9,1.5,27909,96.37
51004492,TSB LOSS CONTROL CONSULTANTS INC,1,9,9.0,27918,96.4
51003967,UPS CAPITAL INSURANCE AGENCY,5,9,1.8,27927,96.43
51004818,TLC TECHNOLOGIES INC,5,9,1.8,27936,96.46
51003879,FLUID ENGINEERING INC,7,9,1.29,27945,96.5
51004773,"BURNS DIRT CONSTRUCTION, INC.",3,9,3.0,27954,96.53
51004282,BFP ENTERPRISES LLC,1,9,9.0,27963,96.56
51004686,FORTIN CAPITAL INC.,4,9,2.25,27972,96.59
51001900,DCM SHRIRAM LTD,6,9,1.5,27981,96.62
51004729,"EXPONENTIAL POWER, INC.",4,9,2.25,27990,96.65
51004595,JOSE PASILLAS,8,9,1.12,27999,96.68
51005078,AUBURN FILTERSENSE LLC,1,9,9.0,28008,96.71
51003943,KAUFMAN ENGINEERED SYSTEMS INC,4,9,2.25,28017,96.74
51005081,ATLASSIAN PTY LTD,2,9,4.5,28026,96.77
51005087,"ASSOCIATED PACKAGING, INC.",1,9,9.0,28035,96.81
51004853,"AIR CAPITAL EQUIPMENT, INC.",3,8,2.67,28043,96.83
51003302,FORGE WORKS,3,8,2.67,28051,96.86
51004583,ROTATING MACHINERY SERVICES INC,2,8,4.0,28059,96.89
51004004,BLUFF CITY DISTIBUTING CO INC,3,8,2.67,28067,96.92
51004023,HAMMOND AND HAMMOND,2,8,4.0,28075,96.94
51004816,CONNECTOR SPECIALISTS INC,2,8,4.0,28083,96.97
51004398,EUREKA WATER CO,2,8,4.0,28091,97.0
51005162,COMBUSTION & CONTROLS LLC,2,8,4.0,28099,97.03
51004839,KT-GRANT INC,3,8,2.67,28107,97.05
51004566,LAMBDA GROUP LIMITED,2,8,4.0,28115,97.08
51003927,TEAM INDUSTRIAL SERVICES INC,6,8,1.33,28123,97.11
51004085,SYMMETRY ENERGY SOLUTIONS LLC,4,8,2.0,28131,97.14
51004949,FUJITSU AUSTRALIA LIMITED,4,8,2.0,28139,97.17
51004052,FLUKE ELECTRONICS CORP,3,8,2.67,28147,97.19
51003996,DYNAMIC AIR INC,2,8,4.0,28155,97.22
51004061,SERVOMEX CO INC,3,8,2.67,28163,97.25
51003920,CURTIS OPTOMETRY GROUP PLLC,5,8,1.6,28171,97.28
51004894,JAY INDUSTRIAL REPAIR INC.,1,8,8.0,28179,97.3
51003916,HACH COMPANY,4,8,2.0,28187,97.33
51003981,EML LLC,2,7,3.5,28194,97.35
51003893,JM TEST SYSTEMS INC,1,7,7.0,28201,97.38
51005023,SONICS & MATERIALS INC,2,7,3.5,28208,97.4
51006062,"DEKRA CERTIFICATION, INC",1,7,7.0,28215,97.43
