Supplier,Name 1,Unique_Invoices,Exception_Events,Avg_Exc_Per_Inv,Cumulative_Events,Cumulative_Pct
51005162,COMBUSTION & CONTROLS LLC,1,7,7.0,12533,93.79
51004548,SHRIEVE CHEMICAL COMPANY INC,7,7,1.0,12540,93.84
51003879,"FLUID ENGINEERING, INC",2,7,3.5,12547,93.89
51004186,UNIFORM STORE LLC,5,7,1.4,12554,93.95
51004231,8X8 INC,6,7,1.17,12561,94.0
51004376,JACKSON MECHANICAL SERVICE INC.,5,7,1.4,12568,94.05
51004526,NETFORTRIS ACQUISITION CO INC,4,7,1.75,12575,94.1
51004765,MISSISSIPPI PEANUT SUPPLY & EQUIPME,4,7,1.75,12582,94.16
51004220,HURRICANE ELECTRIC LLC,3,7,2.33,12589,94.21
51004879,"SOUTHERN TOOLING & MACHINE WORKS, I",6,7,1.17,12596,94.26
51003960,EQUINIX INC,7,7,1.0,12603,94.31
51004184,CPFD LLC,1,6,6.0,12609,94.36
51004747,"MAK ENGINEERING, LLC",2,6,3.0,12615,94.4
51004028,FISCHBEIN LLC,6,6,1.0,12621,94.45
51004861,TRUNDL LABS,4,6,1.5,12627,94.49
51004051,PREMIER LAB SUPPLY INC,2,6,3.0,12633,94.54
51004602,THE CARONDELET FOUNDRY CORP,4,6,1.5,12639,94.58
51005098,PERKINELMER U.S. LLC,2,6,3.0,12645,94.63
51004626,WEIDENHAMMER SYSTEMS CORPORATION,5,6,1.2,12651,94.67
51005102,HUBHEAD CORP.,2,6,3.0,12657,94.72
51004094,THE EDWARD ORTON JR CERAMIC FOUND,2,6,3.0,12663,94.76
51003924,COUPA SOFTWARE INC,3,6,2.0,12669,94.81
51004091,RITEWAY SHREDDING,5,6,1.2,12675,94.85
51005110,ACCENTURE INTERNATIONAL LIMITED,2,6,3.0,12681,94.9
51004650,S D MYERS LLC,1,6,6.0,12687,94.94
51004134,"PACE ANALYTICAL SERVICES, LLC",1,6,6.0,12693,94.99
51004652,OMNIE SOLUTIONS (I) PVT LTD,4,6,1.5,12699,95.03
51005005,REMITCO LLC,5,6,1.2,12705,95.08
51004992,FACTSET RESEARCH SYSTEMS INC,5,6,1.2,12711,95.12
51004799,"SPX FLOW US, LLC",4,6,1.5,12717,95.17
51005033,"JOHN ELDER CONSULTING, LLC",6,6,1.0,12723,95.21
51004025,INDUSTRIAL SCIENTIFIC CORP,6,6,1.0,12729,95.26
51001150,FTT UNIT TRUST,3,6,2.0,12735,95.3
51004333,PENNIE J GREEN,3,6,2.0,12741,95.35
51004263,LABORCHEX INC,5,6,1.2,12747,95.39
51004774,"PED SERVICES, LLC",2,6,3.0,12753,95.44
51003993,BLOCKER & WALLACE SERVICE LLC,2,5,2.5,12758,95.47
51002690,WHITEHALL RESOURCES LTD,5,5,1.0,12763,95.51
51003981,EML LLC,1,5,5.0,12768,95.55
51004638,AMETEK SOLIDSTATE CONTROLS,1,5,5.0,12773,95.58
51004823,MACHINA SYSTEMS ( PTY ) LTD,1,5,5.0,12778,95.62
51004631,EVERLASTING VALVE CO INC,4,5,1.25,12783,95.66
51004271,OREILLY AUTOMOTIVE STORES INC,5,5,1.0,12788,95.7
51005200,SHERMCO INDUSTRIES INC (1009482),3,5,1.67,12793,95.73
51004140,MEGA FORTRIS AMERICAS INC,1,5,5.0,12798,95.77
51004877,PRECISION COMMUNICATIONS INC,5,5,1.0,12803,95.81
51005093,LEVEL 3 COMMUNICATIONS LLC,5,5,1.0,12808,95.85
51004487,SOUTHERN HEAT EXCHANGER CORP,4,5,1.25,12813,95.88
51003560,LINKEDIN SINGAPORE PTE LTD,1,5,5.0,12818,95.92
51004383,FIRETROL PROTECTION SYSTEMS INC,4,5,1.25,12823,95.96
51003989,JOHNSON EQUIPMENT CO,5,5,1.0,12828,96.0
51004072,TYCO FIRE & SECURITY (US) MGMT INC,2,5,2.5,12833,96.03
51004577,RED HAT INC,1,5,5.0,12838,96.07
51004914,O BRIEN EQUIPMENT INC_286380,1,5,5.0,12843,96.11
51004867,"RISKONNECT, INC",1,5,5.0,12848,96.15
51004250,SHAWVER AND SON INC,1,5,5.0,12853,96.18
51004934,MICRONICS ENGINEERED FILTRATION GRO,4,5,1.25,12858,96.22
51003947,CENTRIFUGAL TECHOLOGIES INC,3,5,1.67,12863,96.26
51006057,"CONCUR TECHNOLOGIES, INC.",5,5,1.0,12868,96.3
51004038,MONROE COUNTY COOPERATIVE,4,5,1.25,12873,96.33
51004549,"SAM CARBIS SOLUTIONS, LLC",3,5,1.67,12878,96.37
51005012,GOUDA REFRACTORIES BV,1,5,5.0,12883,96.41
51004654,AIRDUSCO INC,4,4,1.0,12887,96.44
51004838,"JOHN ZINK COMPANY, LLC",2,4,2.0,12891,96.47
51004008,ELECTRIC MOTOR SALES & SERVICE,4,4,1.0,12895,96.5
51004818,TLC TECHNOLOGIES INC,4,4,1.0,12899,96.53
51001868,OPTIMAL AMERICAS LLC,4,4,1.0,12903,96.56
51004684,CIRCUIT BREAKER SALES AND REPAIR LL,1,4,4.0,12907,96.59
51004845,KALENBORN ABRESIST CORP,4,4,1.0,12911,96.62
51004785,DYURI SOLUTIONS LLC,3,4,1.33,12915,96.65
51003893,JM TEST SYSTEMS INC,1,4,4.0,12919,96.68
51004027,LUCKETT PUMP & WELL SERVICE INC,4,4,1.0,12923,96.71
51006062,"DEKRA CERTIFICATION, INC",1,4,4.0,12927,96.74
51004853,"AIR CAPITAL EQUIPMENT, INC.",3,4,1.33,12931,96.77
51004727,"SUMMIT REFRIGERANTS, LLC",2,4,2.0,12935,96.8
51006046,IWL SOLUTIONS LLC,2,4,2.0,12939,96.83
51004712,"DATABANK IMX, LLC",2,4,2.0,12943,96.86
51004849,ACCENTURE LLP,1,4,4.0,12947,96.89
51005218,SECURE IMPLEMENTATION SERVICES LTD,3,4,1.33,12951,96.92
51003738,DAYFORCE AUSTRALIA PTY. LTD,4,4,1.0,12955,96.95
51004686,FORTIN CAPITAL INC.,4,4,1.0,12959,96.98
51003897,MID-SOUTH EXTREME PEST CONTROL LLC,1,4,4.0,12963,97.01
51006087,PULSAIR SYSTEMS INC,3,4,1.33,12967,97.04
51004019,SEPOR INC,2,4,2.0,12971,97.07
51004325,DWIGHT W PROUTY COMPANY INC,4,4,1.0,12975,97.1
51003967,UPS CAPITAL INSURANCE AGENCY,4,4,1.0,12979,97.13
51004651,HAYWARD TYLER INC,4,4,1.0,12983,97.16
51004104,VERANTIS CORPORATION,1,4,4.0,12987,97.19
51004085,SYMMETRY ENERGY SOLUTIONS LLC,4,4,1.0,12991,97.22
51004573,M10 PROCESS EQUIPMENT INC,4,4,1.0,12995,97.25
51004157,CHRISTY CATALYTICS LLC,2,4,2.0,12999,97.28
51004930,PRECISION MACHINE & METAL,2,4,2.0,13003,97.31
51003958,BEYOND TRUST CORPORATION,2,4,2.0,13007,97.34
51003996,DYNAMIC AIR INC,2,4,2.0,13011,97.37
51004978,COGENT COMMUNICATIONS INC,4,4,1.0,13015,97.4
51004292,P AND S CLINIC OB-GYN PLLC,3,4,1.33,13019,97.43
51004488,TALX UCM SERVICES INC,2,4,2.0,13023,97.46
51004566,LAMBDA GROUP LIMITED,2,4,2.0,13027,97.49
51004335,VERNON MILLING CO INC,4,4,1.0,13031,97.52
51004341,FRANK L SCHULTZ,2,4,2.0,13035,97.55
51004353,MEIJBURG & CO,4,4,1.0,13039,97.58
51004627,PLANT MAINTENANCE SERVICE CORP,1,4,4.0,13043,97.61
51004535,EUROFINS LANCASTER LABORATORIES,2,3,1.5,13046,97.63
51004558,SEATTLE BUSINESS SOFTWARE INC,1,3,3.0,13049,97.65
51004836,IMCD US LLC,2,3,1.5,13052,97.67
51004165,WHITTINGTON OFFICE FURNITURE LLC,2,3,1.5,13055,97.7
51004174,INTERACT INTRANET INC,1,3,3.0,13058,97.72
